name, l[deg], b[deg], ra[deg], dec[deg], ra[hms], dec[dms], WHAM_INTEN[R], WHAM_INTEN50[R]
WHAM_north_01, 284.2, 66.2, 185.391, 4.42074, 12h21m33.82860703s, +04d25m14.67042289s, 0.110284723341465, 0.09506995230913162
WHAM_north_02, 293.3, 70.4, 189.612, 7.77156, 12h38m26.89945422s, +07d46m17.59942559s, 0.12102960050106049, 0.14060908555984497
WHAM_north_03, 235.3, 82.3, 185.065, 23.9847, 12h20m15.67621858s, +23d59m04.89699029s, 0.11437328904867172, 0.11300922930240631
WHAM_north_04, 236.1, 69.6, 173.194, 17.7782, 11h32m46.49614494s, +17d46m41.66843293s, 0.1534825563430786, 0.11662369221448898
WHAM_north_05, 43.2, 67, 218.883, 28.798, 14h35m31.83204152s, +28d47m52.64460448s, 0.10915465652942657, 0.09987401962280273
WHAM_north_06, 25, 59.4, 225.141, 19.2667, 15h00m33.90772852s, +19d16m00.2538816s, 0.20879779756069183, 0.21297384798526764
WHAM_south_01, 149.1, -79.8, 17.5669, -17.8983, 01h10m16.04953307s, -17d53m53.71709978s, 0.2979511320590973, 0.2639543414115906
WHAM_south_02, 185.1, -81.5, 21.0186, -22.927, 01h24m04.461557s, -22d55m37.17204263s, 0.27901339530944824, 0.22726766765117645
WHAM_south_03, 351.2, -78.1, 2.0802, -34.6348, 00h08m19.24791967s, -34d38m05.17519931s, 0.1587626188993454, 0.21967661380767822
WHAM_south_04, 58.5764, -67.1989, 351.578, -15.7287, 23h26m18.7069s, -15d43m43.499s, 0.7301451563835144, 0.7137002348899841
WHAM_south_05, 89, -71, 2.19057, -10.9956, 00h08m45.73770217s, -10d59m44.18287773s, 0.34075477719306946, 0.30815941095352173
WHAM_south_06, 355.8, -45.8, 321.613, -44.5432, 21h26m27.1160832s, -44d32m35.55081583s, 0.449628084897995, 0.4216417372226715
WHAM_south_07, 352.3, -32.2, 302.008, -47.1723, 20h08m01.99100323s, -47d10m20.11079281s, 0.88737952709198, 0.9174078106880188
WHAM_south_08, 264.9, -39.9, 70.8595, -56.128, 04h43m26.28166295s, -56d07m40.79484159s, 0.6308765411376953, 0.5541792511940002
